Typ;Produkt;"B x H[mm]";"Preis[Pos]";"Qm[ges.]";Kunden Nr.;Druck RG;Produkt-ID;Monat;Days;;;;;;;;;;;;12/31/2021
AU*;Floatglas grau 8 mm;2250 x 3210;238.26;14.44;10610;1/10/2019;1208;2019/01;1086.00;;;;;;;;;;;;
AU*;Floatglas 6 mm;2250 x 3210;623.88;129.96;10610;1/10/2019;1006;2019/01;1086.00;;;;;;;;;;;;
AU*;"Spiegel ""New Generation"" 6 mm";2250 x 3210;981.92;122.74;10610;1/10/2019;1446;2019/01;1086.00;;;;;;;;;;;;
AU*;PPG Clarvista Starphire 8 mm;2440 x 3300;6987.4;225.4;10124;1/10/2019;62427;2019/01;1086.00;;;;;;;;;;;;
AU*;Floatglas 4 mm;1605 x 2250;589.12;115.52;10798;1/10/2019;1004;2019/01;1086.00;;;;;;;;;;;;
AU*;VSG 6 mm;1605 x 2250;1298.55;119.13;10798;1/10/2019;6000;2019/01;1086.00;;;;;;;;;;;;
AU*;Floatglas 10 mm;3210 x 2250;404.32;28.88;10798;1/10/2019;1010;2019/01;1086.00;;;;;;;;;;;;
AU*;Floatglas 8 mm;3210 x 2250;303.24;28.88;10798;1/10/2019;1008;2019/01;1086.00;;;;;;;;;;;;
AU*;Ultra-clear 8mm;3210 x 2250;462.08;28.88;10798;1/10/2019;62445;2019/01;1086.00;;;;;;;;;;;;
AU*;Spiegel 6 mm New Generation bronze;3210 x 2250;357.39;21.66;10798;1/10/2019;1006;2019/01;1086.00;;;;;;;;;;;;
AU*;Floatglas 5 mm;1605 x 2250;210.8;28.88;10798;1/10/2019;1005;2019/01;1086.00;;;;;;;;;;;;
AU*;Floatglas 3 mm;1605 x 2250;150.16;28.88;10798;1/10/2019;1003;2019/01;1086.00;;;;;;;;;;;;
AU*;VSG 6 mm (matte Folie);1605 x 2250;577.6;28.88;10798;1/10/2019;6056;2019/01;1086.00;;;;;;;;;;;;
AU*;Floatglas 4 mm;3210 x 1500;889.2;144.6;10831;1/10/2019;1004;2019/01;1086.00;;;;;;;;;;;;
AU*;"Spiegel ""New Generation"" 4 mm";1605 x 2250;353.8;36.1;10831;1/10/2019;1445;2019/01;1086.00;;;;;;;;;;;;
AU*;Kathedral kleingehämmert weiß 4 mm;1650 x 2160;133.5;17.8;10831;1/10/2019;4054;2019/01;1086.00;;;;;;;;;;;;
AU*;VSG 6 mm;1000 x 2000;304;20;10426;1/15/2019;6000;2019/01;1081.00;;;;;;;;;;;;
AU*;Gothik weiß 4 mm;1610 x 2130;380.76;20.58;10426;1/15/2019;4044;2019/01;1081.00;;;;;;;;;;;;
AU*;Mastercarre weiß 4 mm;2000 x 1650;270.6;13.2;10426;1/15/2019;4102;2019/01;1081.00;;;;;;;;;;;;
AU*;Drahtglas weiß 7 mm;2040 x 3300;498;33.65;10426;1/15/2019;4023;2019/01;1081.00;;;;;;;;;;;;
AU*;Optiwhite 8 mm;3210 x 2250;2127.72;101.08;12122;1/15/2019;1063;2019/01;1081.00;;;;;;;;;;;;
AU*;Optiwhite 6 mm;3210 x 2550;2070.4;131.04;12122;1/15/2019;1062;2019/01;1081.00;;;;;;;;;;;;
AU*;"Spiegel ""New Generation"" 6 mm";2250 x 3210;773.33;122.74;11104;1/15/2019;1446;2019/01;1081.00;;;;;;;;;;;;
AU*;Drahtornament 187 weiß 7 mm;2040 x 2520;231.3;10.28;10419;1/15/2019;4026;2019/01;1081.00;;;;;;;;;;;;
AU*;Floatglas 6 mm;1610 x 2250;35.3;3.62;10419;1/15/2019;1006;2019/01;1081.00;;;;;;;;;;;;
AU*;Floatglas 3 mm;1610 x 2250;17.81;3.65;10419;1/15/2019;1003;2019/01;1081.00;;;;;;;;;;;;
